number_of_rooms;square_meters;place_type;street;zip_city;char.1;char.2;char.3;rent;p/squarem/y;
4 rooms ; 65 m² ; Apartment;;1207 Genève;Spacious, light-filled living;Equipped modern kitchen;Prime location near amenities;CHF 4,800.-;CHF 886 / m² / year;
4.5 rooms ; 80 m² ; Apartment;;1204 Genève;Fully furnished and equipped;Mezzanine for office/guest;Steps from Lake Geneva;CHF 4,500.-;CHF 675 / m² / year;
3 rooms ;; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious living area;Fully equipped kitchen;Close to public transport;CHF 2,650.-;—;
6.5 rooms ;; Apartment;;1204 Genève;Modern equipped kitchen;Private garden view;Calm green surroundings;CHF 4,700.-;—;
4 rooms ; 93 m² ; Apartment;;1201 Genève;Stunning lake view;Two sunny balconies;Modern open kitchen;CHF 5,500.-;CHF 710 / m² / year;
4 rooms ; 110 m² ; Apartment;;1205 Genève;Bright living area;Fully equipped kitchen;Master bedroom with ensuite;CHF 4,950.-;CHF 540 / m² / year;
5.5 rooms ; 120 m² ; Apartment;;1209 Genève;Spacious living area;Balcony with park view;Close to international orgs;CHF 4,900.-;CHF 490 / m² / year;
4 rooms ; 75 m² ; Apartment;;1207 Genève;Unique design and comfort;Balcony with city views;Jacuzzi in the bathroom;CHF 4,200.-;CHF 672 / m² / year;
3 rooms ; 78 m² ; Apartment;;1208 Genève;Historic building charm;Balcony with city views;Fully equipped kitchen;CHF 4,350.-;CHF 669 / m² / year;
4 rooms ; 90 m² ; 300 m² Plot ;;1207 Genève;Bright and friendly spaces;Cozy garden for spring;Parking space included;CHF 4,750.-;CHF 633 / m² / year;
3.5 rooms ; 63 m² ; Apartment;Chemin du Champ-d'Anier 2; 1209 Genève;Spacious living area;Modern kitchen design;Bright and airy rooms;CHF 2,650.-;CHF 505 / m² / year;
9 rooms ; 183 m² ; Apartment;Chemin Du Petit-Saconnex; 1209 Genève;Panoramic Mont-Blanc view;Bright and sunny interiors;Corner unit for extra light;On request;—;
7.5 rooms ; 300 m² ; Single house;;1206 Genève;Spacious living area;Stunning river views;Modern design features;On request;—;
3.5 rooms ;; Apartment;;1208 Genève;3 min to city center;Cozy bio-ethanol fireplace;Fully equipped kitchen;CHF 3,000.-;—;
9 rooms ;; Villa;;1206 Genève;Stunning rooftop terrace;High-end MIELE kitchen;Private garage for 2 cars;CHF 9,200.-;—;
5 rooms ; 100 m² ; Apartment;;1209 Genève;Equipped kitchen;Bright living area;Parking available;CHF 3,825.-;CHF 459 / m² / year;
3 rooms ; 40 m² ; Apartment;;1207 Genève;100m from the lake;Geneva city center;Fully furnished;CHF 1,975.-;CHF 593 / m² / year;
2 rooms ; 43 m² ; Apartment;Grand-Rue 10; 1204 Genève;Fully equipped kitchen;Separate bathroom and toilet;Cellar and laundry room;CHF 1,250.-;CHF 349 / m² / year;
3 rooms ; 61 m² ; Apartment;;1205 Genève;2 balconies;Great location;Equipped kitchen;CHF 2,457.-;CHF 483 / m² / year;
1.5 rooms ; 28 m² ; Apartment;Avenue De Frontenex 16; 1207 Genève;Sunny apartment in Eaux-Vives;Close to tram and train station;Parks and lake within walking distance;CHF 1,109.-;CHF 475 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Rue Des Deux-Ponts 25; 1205 Genève;Breathtaking panoramic view;Private garden;Near the slopes;CHF 2,125.-;CHF 364 / m² / year;
1 room ;; Furnished apartment;Rue Des Glacis-De-Rive 17; 1207 Genève;Quiet courtyard setting;Lovely terrace;Internet + Wifi;CHF 2,380.-;—;
3 rooms ; 100 m² ; Apartment;Route De Florissant 89a; 1206 Genève;Bright living room;Equipped kitchen;Balcony with view;CHF 3,200.-;CHF 384 / m² / year;
4 rooms ; 105 m² ; Furnished apartment;Rue Des Jardins 12; 1205 Genève;Equipped kitchen with washer;Cozy living room with balcony;Master bedroom with dressing;CHF 4,100.-;CHF 469 / m² / year;
1 room ; 20 m² ; Furnished apartment;Rue Des Pénates 3; 1203 Genève;Near Rhone and city center;Heating and water included;No rental deposit needed;CHF 1,015.-;CHF 609 / m² / year;
2 rooms ; 44 m² ; Apartment;Avenue De Miremont 26; 1206 Genève;Stunning panoramic views;Bright and spacious living;Cozy terrace for relaxation;CHF 1,680.-;CHF 458 / m² / year;
2 rooms ; 21 m² ; Apartment;Rue Des Glacis-De-Rive; 1207 Genève;City center location;Fully renovated;Secure building with elevator;CHF 1,740.-;CHF 994 / m² / year;
4 rooms ; 94 m² ; Apartment;Chemin De L' Escalade 5; 1206 Genève;Sought-after Champel area;Two lovely terraces;Equipped kitchen;CHF 3,800.-;CHF 485 / m² / year;
6.5 rooms ; 139 m² ; Apartment;Boulevard Carl- Vogt 83; 1205 Genève;Equipped kitchen;Spacious balcony;Cellar and laundry;CHF 4,800.-;CHF 414 / m² / year;
3 rooms ; 61 m² ; Apartment;Boulevard Carl- Vogt 45; 1205 Genève;Spacious and bright;Central location;Close to amenities;CHF 2,457.-;CHF 483 / m² / year;
3 rooms ; 62 m² ; Apartment;Rue De Vermont 2; 1202 Genève;Spacious living area;Modern kitchen;Balcony with view;CHF 1,900.-;CHF 368 / m² / year;
4.5 rooms ; 113 m² ; Apartment;Rue De L' Athénée 35; 1206 Genève;Champel residential area;Fully equipped kitchen;Loggia and fireplace;CHF 3,900.-;CHF 414 / m² / year;
1 room ; 36 m² ; Studio;Rue Du Mont-Blanc 17; 1201 Genève;Furnished and modern;6th floor;36 m²;CHF 2,150.-;CHF 717 / m² / year;
3 rooms ; 85 m² ; Apartment;Boulevard Georges- Favon 15; 1204 Genève;Equipped kitchen;Balcony;Modern bathroom;CHF 2,420.-;CHF 342 / m² / year;
1 room ; 30 m² ; Studio;Rue De La Servette 47; 1202 Genève;Fitted kitchen;Private bathroom;Elevator;CHF 960.-;CHF 384 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Rue Lamartine 34; 1203 Genève;Two balconies;Fitted kitchen;Cellar;CHF 2,402.-;CHF 412 / m² / year;
3 rooms ; 52 m² ; Apartment;Rue Liotard; 1202 Genève;Central location, near station;Large balcony across apartment;Cellar and bike storage included;CHF 2,200.-;CHF 508 / m² / year;
4 rooms ; 65 m² ; Apartment;;1203 Genève;Large terrace;Near amenities;Quiet environment;CHF 4,500.-;CHF 831 / m² / year;
5 rooms ; 120 m² ; Apartment;;1204 Genève;Large private garden;Bright and airy;Modern residence;CHF 5,800.-;CHF 580 / m² / year;
2.5 rooms ; 54 m² ; Apartment;;1207 Genève;Completely renovated;High-end finishes;Central location;CHF 2,500.-;CHF 556 / m² / year;
5 rooms ; 100 m² ; Apartment;Rue Lombard 4; 1205 Genève;Through-apartment;Equipped kitchen;Near amenities;CHF 2,444.-;CHF 293 / m² / year;
4 rooms ; 67 m² ; Apartment;Rue De La Dôle 2a; 1203 Genève;Quiet courtyard location;Near Cornavin train station;Modern fitted kitchen;CHF 2,750.-;CHF 493 / m² / year;
4 rooms ; 80 m² ; Apartment;Rue Du Bois-Melly; 1205 Genève;Quiet area, near university and Plainpalais;Large secure cellar;Mountain view from bedroom;CHF 2,703.-;CHF 405 / m² / year;
1.5 rooms ; 64 m² ; Apartment;Route De Malagnou 28; 1208 Genève;64m² furnished & renovated;Large balcony (12m²);Terrace with Geneva view;CHF 2,200.-;CHF 413 / m² / year;
2 rooms ; 38 m² ; Apartment;;1202 Genève;City center location;All charges included;Cellar and laundry room;CHF 1,690.-;CHF 534 / m² / year;
1 room ; 41 m² ; Apartment;Rue De La Tour-De-Boël 2; 1204 Genève;City view;Central location;Near the train station;CHF 800.-;CHF 234 / m² / year;
2 rooms ; 40 m² ; Apartment;Rue De Carouge 110; 1205 Genève;Near hospital;Quiet neighborhood;Balcony;CHF 1,400.-;CHF 420 / m² / year;
1 room ; 21 m² ; Apartment;Rue des Pâquis; 1201 Genève;1 Minute from Lake;Modern kitchen;Refurbished 2023;CHF 1,500.-;CHF 857 / m² / year;
4 rooms ; 81 m² ; Apartment;Promenade De L' Europe 23; 1203 Genève;Heart of Charmilles;Building with elevator;Close to amenities;CHF 2,163.-;CHF 320 / m² / year;
1 room ;; Apartment;Rue Des Glacis-De-Rive 17; 1207 Genève;Pleasant terrace;Equipped kitchen;Internet + Wifi;CHF 2,380.-;—;
2 rooms ; 30 m² ; Apartment;Rue Prévost-Martin 39; 1205 Genève;Bright and charming;Equipped kitchen;Near amenities;CHF 1,360.-;CHF 544 / m² / year;
1 room ; 39 m² ; Apartment;Rue De Contamines 35; 1206 Genève;Public transport nearby;Spacious terrace;Modern kitchen, granite countertop;CHF 2,060.-;CHF 634 / m² / year;
10 rooms ; 220 m² ; Apartment;Route De Frontenex 86; 1208 Genève;Breathtaking view;Large terrace;Duplex apartment with mezzanine;CHF 6,240.-;CHF 340 / m² / year;
3.5 rooms ; 65 m² ; Apartment;;1203 Genève;Quiet, central location;Sunny with garden view;High ceilings (3m);CHF 2,950.-;CHF 545 / m² / year;
2.5 rooms ; 40 m² ; Apartment;;1206 Genève;Prime location in Geneva;Fully furnished apartment;Near Parc Bertrand;CHF 1,900.-;CHF 570 / m² / year;
5 rooms ; 103 m² ; Apartment;Rue Le-Corbusier 22; 1208 Genève;Renovated in 2023;Stunning view;Near public transport and shops;CHF 4,750.-;CHF 553 / m² / year;
4 rooms ; 80 m² ; Apartment;Rue Du Bois-Melly; 1205 Genève;Quiet street, lively area;Large cellar storage;Mountain views;CHF 2,558.-;CHF 384 / m² / year;
2 rooms ; 23 m² ; Apartment;Rue De Malatrex 30; 1201 Genève;Separate kitchen included;Shared laundry facilities;Ideal central location;CHF 1,230.-;CHF 642 / m² / year;
3.5 rooms ; 70 m² ; Apartment;Rue Lamartine 34; 1203 Genève;Bright rooms with balcony view;Two balconies available;Cellar included;CHF 2,402.-;CHF 412 / m² / year;
3 rooms ;; Apartment;;1203 Genève;Charming 2.5 room apartment Charmilles;Fitted kitchen, dining area;Lift, parking space included;CHF 1,538.-;—;
3 rooms ; 40 m² ; Penthouse;;1207 Genève;Central location near lake;Stylish open kitchen;Quality finishes throughout;CHF 2,200.-;CHF 660 / m² / year;
1.5 rooms ; 25 m² ; Studio;Rue Etienne- Dumont 5; 1204 Genève;Old Town location;Modern kitchen;Secure residence;CHF 1,750.-;CHF 840 / m² / year;
4.5 rooms ;; Apartment;Rue Saint-Ours; 1205 Genève;Spacious living room;Well-equipped kitchen;Close to amenities;CHF 2,600.-;—;
3 rooms ; 53 m² ; Apartment;Rue Des Gares 9; 1201 Genève;Balcony;Fitted kitchen;Cellar and laundry;CHF 2,000.-;CHF 453 / m² / year;
3 rooms ;; Apartment;Rue Neuve-Du-Molard 10; 1204 Genève;City center location;Semi-equipped kitchen;Available immediately;CHF 2,804.-;—;
2 rooms ; 35 m² ; Furnished apartment;Rue De Saint-Léger 8; 1205 Genève;Parc des Bastions view;High-standing building;Prime location;CHF 2,100.-;CHF 720 / m² / year;
6 rooms ; 160 m² ; Apartment;Avenue Eugène- Pittard 5; 1206 Genève;Bright living area with loggias;Fully equipped separate kitchen;Close to shops and transport;CHF 6,255.-;CHF 469 / m² / year;
2 rooms ; 32 m² ; Apartment;Avenue De La Croisette; 1205 Genève;Fully renovated apartment;Two balconies;Secure building;CHF 1,640.-;CHF 615 / m² / year;
4 rooms ; 75 m² ; Apartment;Rue De Vermont 2; 1202 Genève;Spacious and bright;Central location;Balcony;CHF 2,385.-;CHF 382 / m² / year;
6 rooms ; 183 m² ; Apartment;Avenue Eugène- Pittard 11; 1206 Genève;Luxury residence with concierge;Quiet, bright, top floor;Large balcony, SW facing;CHF 7,850.-;CHF 515 / m² / year;
4 rooms ; 91 m² ; Apartment;Rue De L' Ancien-Port 14; 1201 Genève;Close to the lake;Spacious living area;Modern equipped kitchen;CHF 2,400.-;CHF 316 / m² / year;
4 rooms ; 80 m² ; Apartment;Rue De-Candolle 15; 1205 Genève;Near the Bastions;Decorative fireplace;Free cellar;CHF 3,250.-;CHF 488 / m² / year;
1 room ; 31 m² ; Furnished apartment;Rue Du Commerce 3; 1204 Genève;Modernized with terrace;Central location in Geneva;Short-term lease available;CHF 2,005.-;CHF 776 / m² / year;
3 rooms ;; Apartment;Rue Butini 16; 1202 Genève;New kitchen;Renovated bathroom;Very bright;CHF 1,720.-;—;
3 rooms ; 77 m² ; Apartment;Rue Des Confessions 2; 1203 Genève;63m2 sun terrace;Spacious rooms;Central yet quiet;CHF 3,400.-;CHF 530 / m² / year;
5 rooms ; 106 m² ; Apartment;Chemin De Grange-Canal 23b; 1208 Genève;Near the park;Large enclosed loggia;No guarantee required;CHF 2,365.-;CHF 268 / m² / year;
1 room ; 10 m² ; Furnished apartment;Rue Des Alpes 17; 1201 Genève;City centre location, near station;Furnished, utilities included;No rental deposit required;CHF 914.-;CHF 1,097 / m² / year;
1 room ; 15 m² ; Furnished apartment;Rue Des Pénates 3; 1203 Genève;Near Rhone river & city center;Furnished rooms;No rental deposit;CHF 925.-;CHF 740 / m² / year;
4 rooms ; 86 m² ; Apartment;Rue Châtelain 3; 1203 Genève;2 balconies;Fitted kitchen;Cellar and laundry room;CHF 2,165.-;CHF 302 / m² / year;
4 rooms ;; Furnished apartment;Rue Liotard; 1202 Genève;Tastefully furnished;Central location;Sunny balcony;CHF 4,450.-;—;
3 rooms ; 77 m² ; Apartment;Rue De Zurich; 1201 Genève;Bright spacious living room;Fully equipped open kitchen;Elegant bathroom with WC;CHF 2,900.-;CHF 452 / m² / year;
3 rooms ; 64 m² ; Apartment;Rue Maurice- Braillard 4; 1202 Genève;Equipped kitchen;Loggia;Cellar;CHF 2,139.-;CHF 401 / m² / year;
4.5 rooms ;; Apartment;Rue De Lausanne; 1202 Genève;Renovated in 2022;Chateau-Banquet view;Original wood floors;CHF 2,975.-;—;
4 rooms ;; Furnished apartment;Rue Des Délices; 1203 Genève;Fully renovated;Bright and quiet;Balcony and cellar;CHF 4,300.-;—;
4.5 rooms ; 100 m² ; Apartment;;1204 Genève;Bright living space;Equipped kitchen;Convenient elevator access;CHF 3,900.-;CHF 468 / m² / year;
5.5 rooms ; 119 m² ; Furnished apartment;Chemin Docteur Adolphe-Pasteur 8; 1209 Genève;Furnished, high standing;Balcony and cellar;Garage and concierge service;CHF 5,200.-;CHF 524 / m² / year;
2 rooms ; 30 m² ; Apartment;;1201 Genève;Modern kitchen & bathroom;Central location;Balcony;CHF 1,900.-;CHF 760 / m² / year;
4 rooms ; 70 m² ; Apartment;;1201 Genève;High-quality furnishings;Central Geneva location;Includes utilities;CHF 4,000.-;CHF 686 / m² / year;
3 rooms ; 50 m² ; Apartment;;1201 Genève;High-standard apartment;Geneva city center;Stylishly furnished;CHF 3,500.-;CHF 840 / m² / year;
4.5 rooms ; 78 m² ; Apartment;Rue Charles- Giron; 1203 Genève;Large garden/terrace;Dynamic neighborhood;Near transport;CHF 2,780.-;CHF 428 / m² / year;
2.5 rooms ; Apartment; Apartment;;1206 Genève;Fully furnished;Balcony included;Near Parc Bertrand;CHF 1,900.-;—;
5.5 rooms ; 92 m² Plot ; Apartment;Chemin Des Crêts-De-Champel 11; 1206 Genève;Spacious balcony;Concierge service;Excellent location;CHF 2,836.-;—;
5.5 rooms ; 120 m² ; Apartment;Chemin De-Normandie 10; 1206 Genève;Stunning mountain view;Near public transport & shops;Many built-in wardrobes;CHF 3,852.-;CHF 385 / m² / year;
1 room ; 25 m² ; Studio;Rue Liotard; 1202 Genève;Furnished studio;Equipped kitchen;Bathroom laundry;CHF 1,400.-;CHF 672 / m² / year;
3 rooms ; 45 m² ; Apartment;Rue Des Charmilles 4; 1203 Genève;Quiet area, near city center;Two balconies;High-quality finishes;CHF 1,850.-;CHF 493 / m² / year;
1 room ; 25 m² ; Apartment;Rue Liotard; 1202 Genève;Fully furnished;Near transport links;Central location;CHF 1,450.-;CHF 696 / m² / year;
3.5 rooms ; 68 m² ; Apartment;Rue Gustave- Muller-Brun; 1208 Genève;Near Eaux-Vives station;Bio-ethanol fireplace;Luxury kitchen with terrace;CHF 3,000.-;CHF 529 / m² / year;
1.5 rooms ; Apartment; Apartment;;1227 Les Acacias;Charming and functional;Quiet & well-kept building;Prime location;CHF 1,000.-;—;
3 rooms ; 62 m² ; Apartment;Rue De La Servette 44; 1202 Genève;Near Cornavin Station;Sunny balcony;Fitted kitchen;CHF 2,570.-;CHF 497 / m² / year;
2 rooms ; 34 m² ; Apartment;Rue Des Charmilles 15;1203 Genève;Sunny balcony;Central location;Near public transport;CHF 1,700.-;CHF 600 / m² / year;
4.5 rooms ; 110 m² ; Apartment;;1202 Genève;Stunning lake views;Two sunny terraces;Flexible rental options;CHF 2,405.-;CHF 262 / m² / year;
6.5 rooms ; 180 m² ; Apartment;;1202 Genève;Lake view balcony;Near UN and lake;3 balconies;CHF 5,800.-;CHF 387 / m² / year;
6.5 rooms ; 195 m² ; Stepped apartment;;1206 Genève;Bright living spaces;High-end materials;Private park access;CHF 7,500.-;CHF 462 / m² / year;
5.5 rooms ; 107 m² ; Apartment;Route De Malagnou 54; 1208 Genève;Equipped modern kitchen;Bright living-dining area;Private cellar included;CHF 4,430.-;CHF 497 / m² / year;
3.5 rooms ; 64 m² ; Apartment;Rue Joseph- Pasquier 3; 1203 Genève;Spacious and bright;Central location;Balcony;CHF 2,170.-;CHF 407 / m² / year;
4 rooms ; Apartment; Apartment;Rue Du Conseil-Général; 1205 Genève;Prime location in Plainpalais;78m², 5th floor;Open kitchen, 2 bathrooms;CHF 3,322.-;—;
4 rooms ; 99 m² ; Apartment;Rue De La Dôle 18; 1203 Genève;Spacious living with loggia;Equipped kitchen with dining;Views of Parc Voltaire;CHF 3,040.-;CHF 368 / m² / year;
8 rooms ; 183 m² ; Apartment;Rue De Contamines 3; 1206 Genève;Private garden;Fully equipped kitchen;Central Champel location;CHF 7,300.-;CHF 479 / m² / year;
6 rooms ; 123 m² ; Apartment;Avenue Pictet-De-Rochemont 17; 1207 Genève;Prime location in Eaux-Vives;Fully equipped kitchen;Spacious living room with fireplace;CHF 5,831.-;CHF 569 / m² / year;
2.5 rooms ; 41 m² ; Apartment;Rue Emile- Yung; 1205 Genève;Large private terrace;Modern bathroom;Prime location;CHF 2,500.-;CHF 732 / m² / year;
2 rooms ;; Apartment;;1203 Genève;Elevator access;Equipped kitchen;Bathtub in bathroom;CHF 1,660.-;—;
3 rooms ;; Apartment;;1205 Genève;Equipped kitchen;Elevator access;Bathtub in bathroom;CHF 1,820.-;—;
1.5 rooms ;; Apartment;;1205 Genève;Spacious living room;Equipped kitchen;Bathroom with tub;CHF 1,370.-;—;
2 rooms ; 31 m² ; Apartment;Rue Docteur-Alfred-Vincent 23; 1201 Genève;Central Pâquis location;Equipped kitchen;Shared laundry;CHF 1,400.-;CHF 542 / m² / year;
3 rooms ; 49 m² ; Apartment;Rue Henri- Blanvalet 14; 1207 Genève;Equipped kitchen;Balcony;Cellar;On request;—;
4 rooms ; 60 m² ; Apartment;Route Des Acacias; 1227 Les Acacias;Ready to move in;Kitchen and living room;Balcony with park view;CHF 2,190.-;CHF 438 / m² / year;
3 rooms ; 47 m² ; Apartment;;1205 Genève;Minutes from Plainpalais;Fully equipped kitchen;Spacious cellar;CHF 2,165.-;CHF 553 / m² / year;
3.5 rooms ; 87 m² ; Apartment;Route de Florissant; 1206 Genève;Large sunny balcony;Modern kitchen & appliances;Private parking included;CHF 3,000.-;CHF 414 / m² / year;
